,brand,prices,Discount,Ratings,Capacity,colour,User_Ratings,original_price
182,Whirlpool,21990,16,4.2,8,Red,1654,26500
183,SAMSUNG,10799,12,4.4,6,Hea...,6,13350
184,Whirlpool,12490,23,4.3,7,Red,684,15999
185,MarQ,12750,12,4.2,7,Grey,27,13900
186,LG,19990,19,4.4,6,White,3120,23300
187,Whirlpool,14340,33,4.3,7.5,Grey,1060,17690
188,LG,28835,42,4.4,8,Maroon,4,30990
189,IFB,15560,43,4.4,8,Brown,215,19390
190,LG,42250,22,4.2,8.5,Maroon,415,56000
191,SAMSUNG,16430,17,4.2,8,Black,20,23200
192,SAMSUNG,36490,52,4.2,6.5,Grey,142,51990
193,LG,17990,23,4.3,8,Black,911,23650
194,Whirlpool,19990,12,4.5,6.5,Grey,247,21550
195,IFB,9990,16,4.3,6.5,Grey,1766,13499
196,Thomson,10990,19,4.4,9,White,247,15990
197,MarQ,25990,33,4.4,6.5,Grey,142,29450
198,IFB,16100,12,4.3,7,Grey,18,17350
199,SAMSUNG,21060,9,5.0,6.5,Grey,60,29990
200,LG,14990,17,5.0,7,Black,132,21990
201,Whirlpool,12741,33,4.2,9.5,Maroon,18,19000
202,Godrej,41290,31,5.0,8,White,60,47990
203,IFB,33590,11,2.0,8.5,Hea...,61984,38990
204,IFB,23790,24,4.4,11,Grey,12280,49999
205,White,18522,21,5.0,10.5,W...,132,23990
206,LG,16990,8,1.0,6.5,Silver,35,22500
207,Whirlpool,9490,17,3.9,7,Grey,14005,15290
208,Voltas,28490,19,5.0,7,White,62485,35199
209,BOSCH,20990,21,5.0,6.5,...,15,37490
210,realme,20990,8,4.4,8,White,71,50990
211,Galanz,19990,14,5.0,10,Silver,6006,32990
212,realme,10490,18,5.0,7,Whi...,18807,16990
213,Voltas,56490,6,4.3,8,White,63,67490
214,IFB,21990,19,4.3,8.5/6.5,...,198,36990
215,Lloyd,10490,24,4.4,7,White,3423,16990
216,Voltas,56490,19,4.2,8,White,4,67490
217,IFB,21990,33,4.1,8.5/6.5,...,18807,36990
218,Lloyd,13990,19,4.2,7,White,105,16800
219,SAMSUNG,47990,52,4.4,6.5,Silver,121,64990
220,LG,17599,19,4.3,11,Black,1654,20950
221,Whirlpool,9439,29,4.4,6.5,Red,61984,12240
222,Voltas,8990,29,4.3,7,White,18807,9900
223,SAMSUNG,9490,23,4.3,6,Purple,1471,15290
224,Voltas,39799,7,4.3,7,White,40,49190
225,BOSCH,35290,25,4.3,8,White,12280,41199
226,BOSCH,9940,31,4.3,8,White,83,11250
227,Whirlpool,10499,11,4.5,7,Grey,4,14090
228,Lloyd,15973,7,4.4,7,Grey,61984,21490
229,LG,15790,29,4.1,8.5,White,62485,19190
230,LG,21990,31,4.3,8.5,Lo...,289,26500
231,SAMSUNG,13650,32,4.2,6,Hea...,148,20900
232,Haier,15700,13,4.3,8.5,Multicolor,44,18300
233,SAMSUNG,29990,13,4.6,9.5,Blue,18807,45190
234,BOSCH,19990,52,4.4,7,Silver,23963,23300
235,Whirlpool,25676,22,4.2,7.5,Grey,2995,35990
236,LG,19990,24,4.4,8,Brown,27,25000
237,SAMSUNG,15400,37,4.1,7,Grey,3448,19090
238,Godrej,42250,19,4.4,8.5,Black,457,56000
239,SAMSUNG,23499,44,4.3,8,Black,18807,33990
240,LG,21754,58,4.2,8,Grey,105,25190
241,BOSCH,8490,39,4.3,7,White,227,11499
242,Thomson,13990,38,4.4,8,White,178,16800
243,SAMSUNG,41160,16,4.2,6.5,Silver,576,54500
244,SAMSUNG,26067,40,4.2,9,Black,171,30990
245,LG,13590,38,4.4,7,Red,3,16650
246,Whirlpool,8990,16,4.4,7.5,Grey,1172,9900
247,SAMSUNG,67820,40,4.1,6,Purple,26,84990
248,LG,33590,16,4.4,10.5/7,Black,2891,38990
249,IFB,21990,26,4.4,11,Grey,215,27000
250,SAMSUNG,9940,15,4.2,8,Grey,14006,11250
251,Whirlpool,36990,22,4.3,7,Grey,9,41990
252,IFB,28090,9,4.5,7,Red,545,32800
253,SAMSUNG,16390,37,4.9,9,Grey,2355,24650
254,Godrej,21990,19,4.4,6.5,Grey,4185,26500
255,SAMSUNG,22690,14,4.9,6,Hea...,387,25490
256,IFB,32990,11,5.0,7,G...,1877,37990
257,IFB,31990,25,5.0,8,In-...,2491,38476
258,SAMSUNG,19990,25,4.2,10,Black,443,23300
259,Whirlpool,12990,17,3.0,7.5,Grey,1404,16000
260,Godrej,58790,17,3.0,8,Purple,19,58890
261,BOSCH,23250,34,4.3,8,Grey,1766,56000
262,IFB,42250,14,1.0,6.5,White,388,26900
263,SAMSUNG,17290,33,2.0,8,Black,10515,16650
264,Godrej,14200,14,4.2,7.5,Grey,104,17390
265,SAMSUNG,14800,28,5.0,6.5,Silver,3,12999
266,SAMSUNG,8190,20,1.0,8.5,Grey,2491,30990
267,Candes,27990,19,4.4,7.8,White,3120,48900
268,IFB,34990,24,5.0,8,Grey,37,12499
269,SAMSUNG,7999,19,1.0,7,Black,4331,34990
270,White,29990,38,4.4,7.5,Maroon,525,35990
271,IFB,31599,17,3.6,6.5,Silver,773,33499
272,IFB,19190,17,4.1,7,with...,5104,41199
273,White,35290,25,4.3,8.5,Wh...,547,19135
274,BOSCH,14990,30,4.3,8,White,2069,31750
275,Voltas,22100,13,4.5,6,Grey,20140,26999
276,Whirlpool,18490,26,4.4,7.5,Grey,14006,32499
277,MarQ,21990,16,4.4,10.2,Grey,14158,7999
278,MOTOROLA,5490,24,5.0,8,Grey,4966,15490
279,Thomson,13940,15,4.2,7,White,48,14990
280,LG,14730,18,4.4,7.5,White,4,29490
281,Whirlpool,27390,9,4.2,8,Maroon,138,16800
282,IFB,14890,20,4.4,6,wit...,1654,38590
283,Panasonic,23699,13,4.3,6.5,Grey,94,43990
284,Voltas,23990,18,4.4,9,Grey,37,16590
285,Galanz,14200,11,4.0,9,White,18807,15299
286,SAMSUNG,10990,11,4.4,8,Grey,15,27400
287,MarQ,19999,14,4.4,9,Blue,1375,44490
288,Whirlpool,35990,33,4.6,7.5,Grey,7959,16250
289,LG,12823,17,3.9,10,Black,1644,16999
290,Whirlpool,13999,10,4.3,8.5,Maroon,9,17990
291,LG,13999,13,4.6,7.5,White,25,17100
292,LG,13447,16,3.9,7.5,White,576,41900
293,Whirlpool,36100,14,4.4,9,Grey,576,10499
294,SAMSUNG,7290,18,4.4,11,Grey,331,73999
295,Thomson,62990,24,4.3,7,Grey,22,21499
296,SAMSUNG,14990,15,4.3,Grey,Grey,22,14420
297,Thomson,13220,11,4.4,8,Grey,1243,42990
298,Godrej,29990,13,4.4,7.2,White,25,36990
299,LG,30990,16,4.5,7,Silver,79,31990
300,LG,24070,18,4.7,6,White,38,6490
301,LG,5990,35,4.5,8,To...,4,27650
302,ONIDA,23499,14,4.4,7,Green,66,20200
303,BOSCH,18490,14,4.3,6,White,7879,13670
304,Whirlpool,9990,36,4.5,7,Grey,3,27590
305,ONIDA,22250,9,4.3,8,White,7879,19990
306,BOSCH,14990,28,2.8,7,Grey,3,26400
307,Lloyd,17290,36,4.4,9,Orange,61984,60590
308,Godrej,48999,14,4.3,7,Grey,10505,43990
309,BOSCH,34990,12,5.0,9,White,85,12999
310,LG,10590,42,5.0,7,Silver,568,30300
311,Thomson,24990,14,4.4,8.5,Grey,12280,50990
312,SAMSUNG,39500,21,5.0,6,White,649,61251
313,LG,40500,30,5.0,8,Black,2537,24500
314,SAMSUNG,20390,31,4.5,9,Black,719,26695
315,Whirlpool,22970,32,5.0,7,Grey,62485,16990
316,Whirlpool,15750,31,5.0,7.5,Grey,5,32800
317,LG,28398,10,4.4,8,White,30,64990
318,Whirlpool,44490,1,5.0,9.5,Grey,18807,35900
319,LG,29900,7,5.0,10,Silver,132,45990
320,SAMSUNG,36990,11,4.7,6.5,Silver,255,12350
321,LG,7790,38,5.0,8,Silver,3423,15500
322,Candes,9990,45,5.0,7.2,White,13294,13300
323,Candes,11900,14,4.5,9,White,389,24590
324,SAMSUNG,17099,28,4.2,7,Grey,18807,36990
